ردیف,کد انبار ,نام کالا ,واحد ,حداقل موجودی ,تامین کننده ,حداقل موجودی,موجودی انبار,مورد نیاز تاریخ ( 20 شهریور  )
2,200002,استپ موتور 2سرشفت,عدد,,سامانی ,,,
4,200004,انكدر 1020-HPL GSM,عدد,,سمنانی,,,
11,200011,تابلو برق ديجيتال,عدد,,سعید مقدم ,,,
32,200033,كابل تلفن فويل دار هوايي 0.6*2*2,متر,,برق صنعتی پارسه,توقف استفاده,,
33,200034,خورطمي فلزي سايز 13,بسته,,برق صنعتی پارسه,توقف استفاده,,
34,200035,كليد 01-Selectory (كليد يكطرفه فرمان طرح تله),عدد,,برق صنعتی پارسه,15,8,20
44,200045,كنترل فاز,عدد,,برق صنعتی پارسه,10,8,10
49,200052,ميكرو سوئيچ دكمه اي كوچك,عدد,,برق صنعتی پارسه,توقف استفاده,,
53,200056,الكتروموتور 75 صدم  تك فاز (موتوژن),عدد,,سعید مقدم ,,,
54,200057,الكتروموتور 1400 دور 3 فاز (موتوژن),عدد,,سعید مقدم ,,,
55,200058,الكتروموتور 1400 دور تك فاز (موتوژن),عدد,,سعید مقدم ,,,
56,200059,الكتروموتور 3000 دور 3 فاز (موتوژن),عدد,,سعید مقدم ,,,
57,200060,الكتروموتور چيني,عدد,,سعید مقدم ,,,
58,200061,الكتروموتور 3000 دور تك فاز (موتوژن),عدد,,سعید مقدم ,,,
59,200062,فلنچ 80 ,عدد,,سعید مقدم ,,,
60,200063,فلنچ 90 ,عدد,,سعید مقدم ,,,
62,200065,پارچه نسوز,متر,,احمدی ,,,
63,200066,نيم فلنچ 80,عدد,,سعید مقدم ,,,
66,200069,ذغال سنگ فرز,عدد,,سعید مقدم ,,,
74,200051,موتور فرز انگشتي,عدد,,سعید مقدم ,,,
78,200078,شيد سه فاز,شاخه,,برق صنعتی پارسه,توقف استفاده,,
88,200088,PLC 5 دكمه اي,عدد,,سعید مقدم ,!,!,!
90,200090,درايو CWDS860H,عدد,,سامانی ,,,
91,200091,كانتر ديجيتال(امواج 17b1),عدد,,برق صنعتی پارسه,توقف استفاده,,
93,200093,كابل فرمان 0.5*10,عدد,,برق صنعتی پارسه,توقف استفاده,,
103,200103,UC - PRG020 - 12A (كابل PLC),عدد,,برق صنعتی پارسه,توقف استفاده,,
108,200108,گارد فلزي فن 8*8,عدد,,برق صنعتی پارسه,توقف استفاده,,
